raw_file_name	bis_processed_file	code	sample_id	label	band	year	min_age	cap_doy	age_group	age_note	treatment	group	lib_prep_batch	seq_run	pool	meth_seqs	meth_conv	unmeth_seqs	unmeth_conv	notes			mass	bhead	fwing	b_cort	s_cort	d_cort			
11922_11163_124347_H7HJ7BGXG_Taff_C_1_263113718_1pre_C34_CATGGC_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_1_263113718_1pre_C34_CATGGC_R1_trimmed_bismark_bt2.bismark.cov.gz	263113718_1pre	T_022	42	263113718	2015	1	144	SY	SY in 2015	cort	1pre	2	4	C_1	83	1.92	101	99.8			263113718_2015_144					40.09	27.85			
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_3_263113719_1pre_B29_CAACTA_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_3_263113719_1pre_B29_CAACTA_R1_trimmed_bismark_bt2.bismark.cov.gz	263113719_1pre	T_058	43	263113719	2015	1	145	SY	SY in 2015	control	1pre	2	2	A_3	302	6.03	145	100			263113719_2015_145	20.75	27.7	113.5	1.49	41.36	14.08			
11923_11163_124350_HFG22BGXG_Taff_D_2_263113720_1pre_B30_CACCGG_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_2_263113720_1pre_B30_CACCGG_R1_trimmed_bismark_bt2.bismark.cov.gz	263113720_1pre	T_024	44	263113720	2015	1	145	SY	SY in 2015	control	1pre	2	5	D_2	37	0.73	60	99.48			263113720_2015_145	22	29	120	2.02	25.57	27.77			
11922_11163_124347_H7HJ7BGXG_Taff_C_3_263113721_1pre_A24_GGTAGC_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_3_263113721_1pre_A24_GGTAGC_R1_trimmed_bismark_bt2.bismark.cov.gz	263113721_1pre	T_092	45	263113721	2015	2	145	ASY	ASY in 2015	cort	1pre	2	4	C_3	127	1.06	295	99.7			263113721_2015_145	23.5	27.9	118	3.91	43.76				
11922_11163_124347_H7HJ7BGXG_Taff_C_1_263113722_1pre_F46_TCCCGA_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_1_263113722_1pre_F46_TCCCGA_R1_trimmed_bismark_bt2.bismark.cov.gz	263113722_1pre	T_025	46	263113722	2015	1	145	SY	SY in 2015	cort	1pre	2	4	C_1	204	1.65	108	99.59			263113722_2015_145	20.7	28.1	115	2.95	27.08	35.21			
11922_11163_124347_H7HJ7BGXG_Taff_C_3_263113723_1pre_E43_TACAGC_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_3_263113723_1pre_E43_TACAGC_R1_trimmed_bismark_bt2.bismark.cov.gz	263113723_1pre	T_059	47	263113723	2015	1	146	SY	SY in 2015	cort	1pre	2	4	C_3	252	1.61	184	99.77			263113723_2015_146				4.71	16.25	24.25			
11923_11163_124350_HFG22BGXG_Taff_D_3_263113730_1pre_D40_CTCAGA_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_3_263113730_1pre_D40_CTCAGA_R1_trimmed_bismark_bt2.bismark.cov.gz	263113730_1pre	T_094	48	263113730	2015	1	150	SY	SY in 2015	cort	1pre	2	5	D_3	20	2.62	103	99.7			263113730_2015_150	22.5	28.4	118	0.78	29.57	18.8			
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_2_263113799_1pre_B29_CAACTA_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_2_263113799_1pre_B29_CAACTA_R1_trimmed_bismark_bt2.bismark.cov.gz	263113799_1pre	RR_005	50	263113799	2015	2	140	ASY	ASY in 2015 when first caught	cort	1pre	2	3	B_2	236	1.58	224	99.73			263113799_2015_140	18.5	28.8	118	19.47	12.35				
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_1_263113901_1pre_C36_CCAACA_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_1_263113901_1pre_C36_CCAACA_R1_trimmed_bismark_bt2.bismark.cov.gz	263113901_1pre	T_043	51	263113901	2015	2	136	ASY	ASY in 2015 when first caught	cort	1pre	2	3	B_1	372	2.01	151	99.23			263113901_2015_136	22.75	29.8	117	9.43	45.32	38.74			
11923_11163_124350_HFG22BGXG_Taff_D_2_263113903_1pre_D39_CTATAC_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_2_263113903_1pre_D39_CTATAC_R1_trimmed_bismark_bt2.bismark.cov.gz	263113903_1pre	T_028	52	263113903	2015	1	155	SY	SY in 2015	cort	1pre	2	5	D_2	39	2.09	217	99.86			263113903_2015_155	19.5	28.5	118		26.34				
